company_name,product_name,category,details
arag,Haftpflichtversicherungen,Haftpflichtversicherung,"Privathaftpflicht: Schutz vor finanziellen Auswirkungen bei Missgeschicken, weltweit gültig und individuell gestaltbar.
Tierhalterhaftpflicht: Schutz für Hundebesitzer oder Pferdehalter vor finanziellen Folgen bei Missgeschicken des Tieres.
Haftpflichtversicherung für Jäger- und Bootsbesitzer: Schutz vor finanziellen Folgen bei Jagd- oder Bootsunfällen.
Betriebshaftpflicht: Schutz für Unternehmer und Mitarbeiter bei Sach-, Personen- und Vermögensschäden im Rahmen der betrieblichen Tätigkeit.
Vermögensschadenhaftpflicht für Vereine und Verbände: Schutz vor Vermögenseinbußen, wenn durch Versäumnisse von Funktionären Vermögensschäden entstehen.
ARAG Recht und Heim: Kombiversicherung aus Haftpflicht, Rechtsschutz und Hausrat.
Kfz-Haftpflicht: Haftpflicht- und Kasko-Versicherungen über den Kooperationspartner Helvetia.
ARAG Schaden-Service: Ausgezeichnet mit ""Sehr gut"" vom TÜV Saarland, Gesamtzufriedenheit bei rund 84 Prozent.
ARAG Live-Chat und digitale Assistentin: Kundenservice und Informationssuche.
Kontakt & Services: Berater finden, Rückruf-Service, Nachricht schreiben, Schaden melden, ARAG Newsletter."
arag,Betriebshaftpflichtversicherung,Haftpflichtversicherung,"Schutz für jede Branche
Versicherungsschutz bis 5 Millionen Euro
Übernahme der Gerichtskosten bei unberechtigten Ansprüchen
Inklusive private Haftpflichtversicherung für Inhaber oder Geschäftsführer
Deckt Risiken rund um Betriebsstätten, betriebliche Tätigkeiten und Produkte
Übernahme der Kosten für Personen-, Sach- und/oder Vermögensschäden bis 3 Mio. Euro pauschal (bis zu 5 Mio. Euro können individuell vereinbart werden)
Prüfung der Ansprüche im Schadensfall und Abwehr unberechtigter oder überhöhter Ansprüche
Zusätzliche Versicherung für Umwelthaftpflicht-Basisdeckung, Umweltschaden-Basisdeckung, Haftung wegen Diskriminierung, private Haftpflicht für den Unternehmer und erweiterte Produkthaftpflichtversicherung
Branchenspezifische Leistungen für das Baunebengewerbe, Handel und Handwerk, Büros und freie Berufe, Gaststätten und Beherbergung, und die Land- und Forstwirtschaft
Bonitätsprüfung und Forderungsmanagement
Beitragsvorteile durch Selbstbeteiligung
Zugang zu umfangreicher juristischer Online-Datenbank
Möglichkeit zur Kombination mit weiteren Versicherungspaketen für umfassenderen Schutz."
arag,Mietrechtsschutz,Rechtsschutzversicherung,"Schützt Interessen als Mieter durch alle Instanzen
Bietet zukünftigen Schutz für diejenigen, die keinen aktuellen Rechtskonflikt haben und sich absichern möchten
Bietet rückwirkenden Schutz mit Sofort-Leistungen ohne Wartezeit für diejenigen, die einen aktuellen Rechtskonflikt haben und sofortige Leistungen benötigen
Kostenlose Prüfung der Nebenkostenabrechnung
Rechtsschutz bei Streitigkeiten mit dem Vermieter
Telefonische Anwaltsberatung rund um die Uhr
Deckt alle Kosten eines Rechtsstreites ab, einschließlich Gebühren für Gericht, Anwalt, Zeugen und Sachverständige, sowie Kosten der Gegenseite
Schützt auch als Mieter, Pächter oder Eigentümer eines selbst genutzten Grundstücks oder Hauses
Bietet Möglichkeit zur kostenlosen und schnellen Prüfung der Nebenkostenabrechnung
Bietet Möglichkeit zur Konfliktlösung durch Mediation
Bietet verschiedene Leistungspakete (Basis, Komfort, Premium) mit unterschiedlichen Leistungen
Für einige Bausteine des Mietrechtsschutzes gelten Wartezeiten
Kann online, bei einem ARAG Berater vor Ort oder telefonisch abgeschlossen werden
Rechts-Service ist jederzeit erreichbar, um rechtliche Fragen zu beantworten oder bei drohenden Rechtsstreitigkeiten zu helfen
Möglichkeit zur Ergänzung des Rechtsschutzes um die Bereiche: Privat, Beruf oder Verkehr
Möglichkeit zur Ergänzung des Rechtsschutzes um Familienrechtsschutz."
arag,Top-Schutzbrief,Reiseversicherung,"Bietet Unterstützung in Notsituationen rund um die Uhr, 365 Tage im Jahr.
Umfasst Europa- oder weltweiten Schutzbrief für Pannen oder Unfälle.
Bietet umfangreiche Leistungen für Soforthilfe unterwegs.
Inklusive Rechtsberatung von Experten.
Optional mit Auslandskrankenversicherung kombinierbar.
Bietet Hilfe bei Krankheit oder Unfall, Mobilitäts-Hilfe, Pannenhilfe, Verlust von Gegenständen und Betreuungsleistungen.
Bietet Unterstützung bei Notfällen zu Hause wie Handwerker-Service, Kinder- und Haustierbetreuung, Schlüssel-Service und Haushüter-Service.
In der Familien-Version sind in häuslicher Gemeinschaft lebende Ehepartner, eingetragene Partner oder sonstige Lebenspartner und die mit Ihnen in häuslicher Gemeinschaft lebenden minderjährigen Kinder mitversichert.
Bietet Unterstützung bei Fahrzeugausfall auch für berechtigte Fahrer und Insassen.
Bietet vielfältigen Support bei einer Reise.
Bietet Unterstützung bei Ausfall von Bus & Bahn.
Bietet Hilfe bei Notfällen auf Reisen wie 24h Notruf Service, Soforthilfe, Kostenübernahmegarantie gegenüber Krankenhäusern, Krankenrücktransport, Übernachtungskosten, Such-, Rettungs- und Bergungskosten, medizinische Hilfsmittel, Krankenbesuch, außerplanmäßige Heimreise, Hilfe in besonderen Notfällen, Rückholung von Haustieren, Arzneimittel und Brillenversand ins Ausland, Hilfe bei Verlust von Reisedokumenten, Bestattungs- oder Überführungskosten, Hilfe bei Insolvenz des Reisveranstalters und Strafverfolgung im Ausland.
Bietet Zugang zu einer umfassenden juristischen Online-Datenbank mit rund 1.000 rechtlich geprüften Musterdokumenten zu unterschiedlichen Rechtsthemen.
Bietet Unterstützung bei rechtlichen Problemen auf Reisen.
Bietet Unterstützung bei Verlust von Jahreskarten des öffentlichen Personennah- und Fernverkehrs.
Bietet Unterstützung bei Ausfall des Fahrzeugs wie Pannen- und Unfallhilfe, Abschleppen zur Fachwerkstatt oder Wunschwerkstatt, Mietwagen, Fahrtkosten für die Weiter- oder Rückfahrt nach Fahrzeugausfall, Übernachtungskosten bei Fahrzeugausfällen, Bergungskosten, Fahrzeugrücktransport, Fahrzeugunterstellung, Ersatzteilversand im Ausland, Hilfe bei verlorenen / defekten Fahrzeugschlüssel.
Versichert eigene Pkw, Fremde Pkw (inkl. Mietwagen), Motorräder, Wohnmobile bis 4,0t; Anhänger und Fahrräder/ E-Bikes.
Bietet Unterstützung bei Ausfall von Bus & Bahn wie Weiterfahrt- und Übernachtungsservice wegen Verspätung eines öffentlichen Verkehrsmittels im Inland, Rückfahrtservice bei Einstellung des ÖPNVs im Winter, Verlust von Jahreskarten des öffentlichen Personennah- und Fernverkehrs.
Bietet Hilfe bei Notfällen auf Reisen wie 24h Notruf Service, Soforthilfe, Kostenübernahmegarantie gegenüber Krankenhäusern, Krankenrücktransport, Übernachtungskosten, Such-, Rettungs- und Bergungskosten, Überbrückungshilfe bei Schwerstverletzung, Medizinische Hilfsmittel, Krankenbesuch, Außerplanmäßige Heimreise, Hilfe in besonderen Notfällen, Rückholung von Haustieren, Arzneimittel und Brillenversand ins Ausland, Hilfe bei Verlust von Reisedokumenten, Bestattungs- oder Überführungskosten, Hilfe bei Insolvenz des Reisveranstalters, Strafverfolgung im Ausland.
Bietet Unterstützung bei Ausfall des Fahrzeugs wie Pannen- und Unfallhilfe, Abschleppen zur Fachwerkstatt oder Wunschwerkstatt, Mietwagen, Fahrtkosten für die Weiter- oder Rückfahrt nach Fahrzeugausfall, Übernachtungskosten bei Fahrzeugausfällen, Bergungskosten, Fahrzeugrücktransport, Fahrzeugunterstellung, Ersatzteilversand im Ausland, Hilfe bei verlorenen / defekten Fahrzeugschlüssel.
Vers"
arag,Zahnzusatzversicherung,Krankenversicherung,"4 Tarife zur Wahl für den passenden Schutz
Alle Leistungen ohne Wartezeit
Einstieg für unter 12 €/Monat möglich
Professionelle Zahnreinigung, Zahnbehandlung, Zahnersatz und Kieferorthopädie bei Kindern in allen Tarifen enthalten
Kieferorthopädie bei Erwachsenen und Leistungen für Angstpatienten in ausgewählten Tarifen enthalten
Bleaching in Dent100 Tarif enthalten
Zugang zu umfangreicher juristischer Online-Datenbank nach Vertragsabschluss
Persönliche Beratung vor Ort oder telefonisch möglich
Digitale Einreichung von Belegen per App
Unterstützung bei der Suche nach dem richtigen Zahnarzt durch das Zahnärztenetzwerk DENT-NET®
Kündigung erstmals 24 Monate nach Vertragsbeginn möglich
Sonderkündigungsrecht bei Beitragserhöhung."
arag,Krankentagegeld,Krankenversicherung,"Sichert Arbeitnehmer und Selbstständige gegen Geldeinbußen ab, wenn nach sechs Wochen Arbeitsunfähigkeit der Arbeitgeber kein Gehalt mehr zahlt und Sie Krankengeld erhalten.
Stockt den entstehenden Fehlbetrag auf und sichert so Ihre Existenz bei Verdienstausfällen – so lange wie Sie es brauchen.
Vermeidet Verdienstausfälle – das ist vor allem für Selbstständige inzwischen ein Muss.
Bietet zeitlich unbegrenzte finanzielle Hilfe für die gesamte Dauer der Arbeitsunfähigkeit – Sonn- und Feiertage inklusive!
Das Krankentagegeld ist frei verfügbar, verwenden Sie es so, wie es für Sie am besten ist.
Bei Selbstständigen leistet die Versicherung ab dem 8. Krankheitstag und sichert so Ihre Existenz, bis Sie wieder fit sind.
Der Versicherungsschutz erstreckt sich auf Deutschland. Bei vorübergehenden Aufenthalten im europäischen Ausland wird für im Ausland akut eingetretene Krankheiten und Unfälle das vereinbarte Krankentagegeld nach Durchlaufen der Karenzzeit für die Dauer einer vollstationären Behandlung im Krankenhaus gezahlt.
Beamte und Personen, die ihr Einkommen nicht durch Erwerbstätigkeit erzielen (Hausfrauen, Pensionäre, Rentner, Schüler, Studenten, etc.) können keine Krankentagegeldversicherung abschließen.
Vor Ablauf der Lohnfortzahlungsdauer, spätestens am ersten Leistungstag der Krankentagegeldversicherung, müssen Sie sich bei der ARAG melden, um die Krankentagegeldleistung vom ersten Leistungstag an zu erhalten.
Die Meldung kann telefonisch, schriftlich, per Fax oder Email erfolgen.
Bei fortdauernder Arbeitsunfähigkeit ist ein jeweils aktuell ausgefülltes Pendelformular im Abstand von 14 Tagen einzureichen.
Von Selbstständigen/Freiberuflern wird anstelle der Arbeitgeberbescheinigung ein Einkommensnachweis – in der Regel der Einkommenssteuerbescheid, in Ausnahmefällen die Gewinn- und Verlustrechnung – angefordert."
arag,ARAG Existenz-Schutz,Rentenversicherung,"Finanzielle Unabhängigkeit durch vereinbarte monatliche Rente zur Ausgleichung von entgangenem Einkommen und Mehrkosten
Zuverlässiger Schutz nach Unfällen und bei schweren Erkrankungen, unabhängig von beruflichen Einschränkungen
Besonders geeignet für Berufseinsteiger ab 16 Jahren, Hausfrauen und -männer, Handwerker und Selbstständige
Zwei Varianten des Schutzes: Komfort und Premium, mit unterschiedlichen Leistungen und Unterstützungen
Monatliche Rente, praktische Hilfs- und Pflegeleistungen, Unterstützung bei Folgekosten wie Wohnungsumbau
Premiumvariante bietet zusätzlich Unterstützung durch einen Reha-Manager, Rentengarantie für Angehörige im Todesfall und zusätzliche Kapitalsofortleistung
Leistungen zur Sicherung des Lebensstandards, wie monatliche Rente nach Unfall, im Pflegefall, bei Organschäden oder Verlust von Grundfähigkeiten
Zusätzliche finanzielle Unterstützung bei Hauttransplantation und Krebserkrankung
Zusätzliche Leistungen zur Abfederung finanzieller Folgen eines schweren Unfalls oder einer Erkrankung, wie Behandlungskosten, Umbaukosten, Transportkosten, Unterstützung zur Kur und Erholung, Kinder- und Haustierbetreuung
Rechtliche Unterstützung bei Rechtsfragen rund um den Versicherungsfall, inklusive Rechtsschutz für Opfer von Gewaltstraftaten, Schadenersatz-Rechtsschutz und Patienten-Rechtsschutz
Renten- und Innovationsgarantie in der Premiumvariante
Persönlicher Reha-Manager in der Premiumvariante zur Unterstützung bei medizinischen Fragen, Pflegerentenanträgen, psychologischer Unterstützung und Neuordnung des Haushalts
Unabhängig von beruflicher Tätigkeit und geeignet für Personen, die sonst keine oder unzureichende Absicherung haben."
arag,Ertragsausfallversicherung,Betriebsunterbrechungsversicherung,"Rechtsschutz-, Hausrat- und Haftpflichtversicherung in einem Versicherungspaket
Sofort 20% Rabatt sichern
Absichern, auch wenn der Ärger schon da ist
Sichern Sie sich die beste medizinische Versorgung
Egal ob Rechnungen oder Rezepte: Schicken Sie uns Ihre Belege einfach per App
Für den Fall, dass Ihre Elektro-Geräte Schaden nehmen, gibt es unsere Elektronikversicherung
Individuell kombinierbar, Preisvorteil inklusive
Gesundheitsleistungen für das ganze Unternehmen
Mit einer Ertragsausfallversicherung sind Sie finanziell abgesichert, falls Ihr Betrieb eine Zwangspause einlegen muss
Ertragsausfallversicherung bei Betriebsschließung
Ertragsausfallversicherung bei Betriebsunterbrechung
Sie möchten noch mehr Schutz? Mit ARAG Recht & Gewerbe sichern Sie mit einem einzigen Versicherungspaket besonders wichtige Bereiche Ihrer Geschäftstätigkeit ab – einfach, transparent und zu starken Konditionen
Mehrfach geschützt mit nur einem Vertrag
Individuell kombinierbar: Der ARAG Rechtsschutz ist immer enthalten – Haftpflicht und/oder Sachschutz sowie weitere Bausteine nach Wahl
Preisvorteil und Schadenfreiheitsrabatt inklusive
Bis zu 50% Rabatt im Laufe der Zeit"
arag,Hunde-OP-Versicherung,Tierversicherung,"Übernimmt Kosten für Operationen und damit einhergehende Behandlungen bei Hunden
Freie Tierarzt- bzw. Klinikwahl
Übernimmt Kosten für Vorbehandlung und Nachsorge
Zahnbehandlungen auf Wunsch mitversichert
Erstattung bis zum 4-fachen GOT-Satz
Tarif Premium bietet Schutz für höchste Ansprüche, einschließlich Operation wegen Krankheit oder Unfall, Nachsorgebehandlungen und Medikamente bis zu 30 Tage nach der Operation, Gesundheitspauschale für prophylaktische Maßnahmen, Physiotherapie nach einer Operation, Bezuschussung von Behandlungskosten aufgrund besonderer Erkrankungen, Online-Sprechstunde mit einem Tierarzt 24/7
Keine Wartezeit bei Versicherungswechsel
Gilt auch im Ausland – weltweit bis zu 12 Monate
Online-Sprechstunde mit einem Tierarzt
Treuebonus
ARAG Wallet-Card
Rechnungen einfach online einreichen
Persönliche Beratung verfügbar
Kann für alle Hunderassen abgeschlossen werden
Keine Wartezeit im Falle eines Unfalls
Kann online, bei einem ARAG Berater vor Ort oder telefonisch abgeschlossen werden
Weitere Versicherungen für Hunde verfügbar, einschließlich Hundekrankenversicherung und Hundehaftpflichtversicherung."
arag,ARAG Ehe-Rechtsschutz,Rechtsschutzversicherung,"Rechtlicher Rückhalt für schwierige Zeiten bei einer Scheidung, einschließlich der Übernahme von Anwaltsberatung und Gerichtsverfahren bis zu 30.000 Euro.
Gilt für beide Ehepartner und ist nur bei ARAG erhältlich.
Inklusive Scheidungsfolgesachen, bei denen ARAG in familienrechtlichen Angelegenheiten wegen Getrenntlebens, Scheidung oder Scheidungsfolgesachen eintritt.
Für den Ehe-Rechtsschutz gilt eine Wartezeit von drei Jahren und kann nur als Anbindung an den Privat-Rechtsschutz abgeschlossen werden.
Die Versicherung gilt auch für eingetragene Lebenspartnerschaften.
Der Ehe-Rechtsschutz greift nicht bei Sorgerechtsfragen, dafür kann der private Versicherungsschutz mit dem ARAG Unterhaltsrechtsschutz ergänzt werden.
Der Ehe-Rechtsschutz kann sowohl online, bei einem ARAG Berater vor Ort oder telefonisch abgeschlossen werden.
Die Versicherung wurde vom TÜV Saarland mit der Note ""Sehr gut"" (1,6) ausgezeichnet und hat eine Gesamtzufriedenheit von rund 84 Prozent."
