Here are the definitions of categories and sub-categories of insurance in the following comma separated format: 

[Example format start]
Main Category name, Sub Category name, Sub Category Description
[Example format end] 

[start of insurance categories]
main_category,sub_category,description
Health Insurance,Individual Health Insurance,Covers medical expenses for an individual policyholder.
Health Insurance,Family Health Insurance,Provides health coverage for the entire family under a single policy.
Health Insurance,Critical Illness Insurance,Offers a lump sum benefit upon diagnosis of a critical illness.
Health Insurance,Dental Insurance,"Covers dental care expenses including check-ups, cleanings, and procedures."
Health Insurance,Vision Insurance,"Covers eye care expenses such as exams, glasses, and contact lenses."
Life Insurance,Term Life Insurance,"Provides coverage for a specified term, paying a benefit if the insured dies during the term."
Life Insurance,Whole Life Insurance,"Offers lifetime coverage with a savings component, accumulating cash value."
Life Insurance,Universal Life Insurance,"Flexible policy with adjustable premiums and death benefits, including a savings element."
Life Insurance,Variable Life Insurance,"Combines life insurance with investment options, allowing cash value to grow based on market performance."
Life Insurance,Final Expense Insurance,"Covers funeral and burial expenses, providing peace of mind for end-of-life costs."
Auto Insurance,Liability Coverage,Covers damages to others for which the policyholder is responsible.
Auto Insurance,Collision Coverage,Pays for damage to the policyholder's car resulting from a collision.
Auto Insurance,Comprehensive Coverage,"Covers non-collision-related damage to the policyholder's car, such as theft or natural disasters."
Auto Insurance,Personal Injury Protection,Covers medical expenses and lost wages for the policyholder and passengers after an accident.
Auto Insurance,Uninsured/Underinsured Motorist Coverage,Protects against damages caused by a driver with insufficient or no insurance.
Home Insurance,Homeowners Insurance,Covers the home structure and personal belongings against damage or theft.
Home Insurance,Renters Insurance,Protects personal property within a rented residence and provides liability coverage.
Home Insurance,Condo Insurance,Covers personal property and interior elements of a condominium unit.
Home Insurance,Flood Insurance,"Provides coverage for damage caused by flooding, typically not included in standard policies."
Home Insurance,Earthquake Insurance,Covers damage to a home and belongings caused by an earthquake.
Travel Insurance,Trip Cancellation Insurance,Reimburses non-refundable travel expenses if a trip is canceled for covered reasons.
Travel Insurance,Travel Medical Insurance,Covers medical emergencies and evacuation while traveling abroad.
Travel Insurance,Baggage Insurance,"Provides compensation for lost, stolen, or damaged luggage during travel."
Travel Insurance,Flight Insurance,Offers coverage for accidents occurring during a flight.
Travel Insurance,Adventure Sports Insurance,Covers injuries and accidents related to high-risk sports activities during travel.
Pet Insurance,Accident-Only Pet Insurance,Covers veterinary costs resulting from accidents.
Pet Insurance,Comprehensive Pet Insurance,"Includes coverage for accidents, illnesses, and preventive care."
Pet Insurance,Lifetime Pet Insurance,Provides coverage for chronic conditions throughout the pet's life.
Pet Insurance,Time-Limited Pet Insurance,Covers conditions for a set period or up to a maximum payout.
Pet Insurance,Wellness Pet Insurance,Covers routine care such as vaccinations and check-ups.
Business Insurance,General Liability Insurance,Protects businesses from claims of bodily injury or property damage.
Business Insurance,Professional Liability Insurance,Covers legal costs from claims of negligence or malpractice.
Business Insurance,Commercial Property Insurance,Covers damage to business property from events like fire or theft.
Business Insurance,Workers' Compensation Insurance,Provides benefits to employees injured on the job.
Business Insurance,Business Interruption Insurance,Covers lost income and expenses due to a temporary business closure.
Disability Insurance,Short-Term Disability Insurance,Provides income replacement for a short period due to disability.
Disability Insurance,Long-Term Disability Insurance,Offers income replacement for extended periods of disability.
Disability Insurance,Individual Disability Insurance,Covers individuals against loss of income due to disability.
Disability Insurance,Group Disability Insurance,"Offered by employers, covering employees for disability-related income loss."
Disability Insurance,Supplemental Disability Insurance,Provides additional coverage beyond standard disability policies.
Marine Insurance,Hull Insurance,Covers physical damage to a ship or vessel.
Marine Insurance,Cargo Insurance,Protects goods being transported by sea against loss or damage.
Marine Insurance,Freight Insurance,Covers the loss of freight revenue due to cargo damage or loss.
Marine Insurance,Liability Insurance,Protects shipowners against liabilities to third parties.
Marine Insurance,Protection and Indemnity Insurance,"Covers a wide range of liabilities for shipowners, including crew injuries and environmental damage."
Aviation Insurance,Aircraft Hull Insurance,Covers physical damage to the aircraft.
Aviation Insurance,Aviation Liability Insurance,Protects against liabilities arising from aircraft operations.
Aviation Insurance,Passenger Liability Insurance,Covers legal liabilities for passenger injuries or deaths.
Aviation Insurance,Ground Risk Hull Insurance,Covers aircraft damage while on the ground.
Aviation Insurance,In-Flight Insurance,Covers aircraft damage occurring during flight.
Cyber Insurance,Data Breach Insurance,"Covers costs associated with data breaches, including notification and legal expenses."
Cyber Insurance,Network Security Insurance,"Protects against losses from network security failures, such as hacking."
Cyber Insurance,Business Interruption Insurance,Covers lost income due to cyber incidents disrupting business operations.
Cyber Insurance,Cyber Extortion Insurance,Covers ransom payments and related expenses in the event of cyber extortion.
Cyber Insurance,Media Liability Insurance,"Protects against claims of defamation, copyright infringement, and other media-related liabilities."
Credit Insurance,Trade Credit Insurance,Protects businesses against non-payment of commercial debts.
Credit Insurance,Mortgage Insurance,Covers lenders against borrower default on mortgage loans.
Credit Insurance,Credit Life Insurance,Pays off a borrower's debt if they die before the loan is repaid.
Credit Insurance,Credit Disability Insurance,Covers loan payments if the borrower becomes disabled.
Credit Insurance,Political Risk Insurance,Protects businesses against losses due to political events affecting credit.
Title Insurance,Owner's Title Insurance,Protects property buyers against title defects and ownership disputes.
Title Insurance,Lender's Title Insurance,Covers lenders against title defects that could affect loan security.
Title Insurance,Leasehold Title Insurance,Protects leaseholders against title issues affecting their lease rights.
Title Insurance,Construction Loan Title Insurance,Covers title risks during the construction phase of a property.
Title Insurance,Easement Title Insurance,Protects against issues related to easements on a property.
Agricultural Insurance,Crop Insurance,Covers loss of crops due to natural disasters or loss of revenue due to declines in agricultural commodity prices.
Agricultural Insurance,Livestock Insurance,"Protects against loss of livestock due to disease, accidents, or natural disasters."
Agricultural Insurance,Farm Property Insurance,Covers farm buildings and equipment against damage or loss.
Agricultural Insurance,Farm Liability Insurance,Protects farmers against liabilities arising from farm operations.
Agricultural Insurance,Aquaculture Insurance,Covers risks associated with fish farming and other aquaculture activities.
Event Insurance,Wedding Insurance,"Covers losses related to wedding cancellations, damages, or liabilities."
Event Insurance,Concert Insurance,Protects against financial losses from concert cancellations or liabilities.
Event Insurance,Festival Insurance,Covers risks associated with organizing and hosting festivals.
Event Insurance,Conference Insurance,Protects against losses from conference cancellations or liabilities.
Event Insurance,Sports Event Insurance,Covers risks related to organizing and hosting sports events.
Kidnap and Ransom Insurance,Corporate K&R Insurance,Protects businesses against financial losses from employee kidnappings.
Kidnap and Ransom Insurance,Personal K&R Insurance,Covers individuals and families against kidnapping and ransom demands.
Kidnap and Ransom Insurance,Maritime K&R Insurance,Protects against kidnappings and ransom demands in maritime settings.
Kidnap and Ransom Insurance,Political K&R Insurance,Covers risks of kidnapping in politically unstable regions.
Kidnap and Ransom Insurance,Travel K&R Insurance,Provides coverage for travelers against kidnapping and ransom situations.
