company_name,page_content,product_service_name,product_information
generali,geschaeftskunden_rundum-schutz_immobiliensicherungspolice_cleansed.md,Immobiliensicherungspolice,"Die Immobiliensicherungspolice schützt Eigentümer gewerblich genutzter Gebäude vor finanziellen Folgen von Sachschäden, wie z.B. durch Feuer, Sturm oder Leitungswasser. Sie umfasst eine dynamische Sachgebäudeversicherung sowie zusätzliche Bausteine wie Mietausfallschutz und Glasbruchversicherung, um umfassenden Schutz für Immobilien und deren Einnahmequellen zu gewährleisten."
generali,cookie-einstellungen_cleansed.md,Vermögensaufbau Sicherheitsplan,"Der Vermögensaufbau Sicherheitsplan ist ein Produkt zur langfristigen Vermögensbildung, das auf Sicherheit und Rendite ausgerichtet ist. Er bietet eine strukturierte Möglichkeit, Vermögen aufzubauen und für die Zukunft vorzusorgen, während gleichzeitig Risiken minimiert werden."
generali,geschaeftskunden_rundum-schutz_immobiliensicherungspolice_cleansed.md,Immobiliensicherungspolice,"Die Immobiliensicherungspolice schützt Eigentümer gewerblich genutzter Gebäude vor finanziellen Folgen von Sachschäden, wie z.B. durch Feuer, Sturm oder Leitungswasser. Sie bietet flexible Bausteine zur individuellen Anpassung, einschließlich Mietausfallschutz und Glasbruchversicherung, um die wirtschaftliche Stabilität des Unternehmens zu gewährleisten."
generali,cookie-einstellungen_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanziellen Schutz bei Unfällen, die zu dauerhaften Schäden oder Invalidität führen können. Sie sichert eine einmalige Kapitalzahlung oder regelmäßige Rentenleistungen, um die finanziellen Folgen eines Unfalls abzufedern. Diese Versicherung ist besonders wichtig für Personen mit hohem Risiko in Beruf oder Freizeit."
generali,impressum_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung im Falle eines Unfalls, der zu dauerhaften Schäden oder Invalidität führt. Sie sichert nicht nur die medizinischen Kosten ab, sondern auch Einkommensausfälle und bietet zusätzliche Leistungen für Rehabilitationsmaßnahmen."
generali,privatkunden_gesundheit-freizeit_wassersportversicherung_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung im Falle eines Unfalls, der zu Verletzungen oder Invalidität führt. Sie sichert eine monatliche Rente oder eine einmalige Zahlung ab, um die finanziellen Folgen eines Unfalls abzufedern. Diese Versicherung ist besonders wichtig für aktive Menschen und Familien, die sich vor den finanziellen Risiken eines Unfalls schützen möchten."
generali,privatkunden_gesundheit-freizeit_krankenratgeber_cleansed.md,Pflegezusatzversicherung,"Die Pflegezusatzversicherung ergänzt die gesetzliche Pflegeversicherung und bietet finanzielle Unterstützung im Pflegefall. Sie ermöglicht eine bessere Absicherung und sorgt dafür, dass im Bedarfsfall die Kosten für Pflegeleistungen abgedeckt sind. Dies ist besonders wichtig, um im Alter oder bei Krankheit die Lebensqualität zu sichern."
generali,privatkunden_rundum-schutz_young-and-law_cleansed.md,Rechtsschutzversicherung,"Die Rechtsschutzversicherung schützt vor den finanziellen Risiken eines Rechtsstreits und bietet Unterstützung in verschiedenen Lebensbereichen, wie Privat-, Berufs- und Verkehrsrecht. Sie ermöglicht den Zugang zu rechtlicher Beratung und übernimmt Kosten für Anwälte und Gerichtsverfahren. Besonders für junge Menschen bietet sie maßgeschneiderte Lösungen, um rechtliche Probleme frühzeitig zu klären."
generali,privatkunden_vorsorge-finanzen_grundfaehigkeitsversicherung_cleansed.md,Vermögensaufbau Sicherheitsplan,"Der Vermögensaufbau Sicherheitsplan ist ein Produkt zur langfristigen Vermögensbildung, das auf Sicherheit und Rendite abzielt. Es kombiniert Spar- und Anlagemöglichkeiten, um eine solide finanzielle Basis für die Zukunft zu schaffen und gleichzeitig Risiken abzusichern."
generali,privatkunden_gesundheit-freizeit_krankenhaustagegeld_cleansed.md,Krankenhaustagegeldversicherung,"Die Krankenhaustagegeldversicherung bietet finanzielle Unterstützung während eines Krankenhausaufenthalts, indem sie ein vereinbartes Tagegeld für die Dauer des Aufenthalts auszahlt. Dies hilft, Mehrkosten zu decken und sorgt für eine angenehme finanzielle Entlastung während der Behandlung. Der Tarif kann individuell angepasst werden, um den spezifischen Bedürfnissen der Versicherten gerecht zu werden."
