Feature,Company: ARAG – gewerbeversicherung_betriebshaftpflichtversicherung,Company: AXA – geschaeftskunden_veranstalterhaftpflichtversicherung,source,Company: Barmenia – Krankenhaustagegeld,Company: DKV – Betriebliche Krankenversicherung,Company: barmenia – deu_bde_privat_bde_produkte_privat_bde_gesundheit_kv_voll_spezialtarife_uebersicht.xhtml,Company: dkv – kunden-kundenbereich-service-rechnungen-einreichen-91963.md,Company: Barmenia – deu_bde_privat_bde_service_bde_infocenter_bde_krankenversicherung_bde_erstattungsfaehige_naturheilverfahren_uebersicht.xhtml,Company: DKV – gesundheit-organisation-hilfsmittel-service-schlafapnoe-geraete.md,Company: DKV – produkte-beihilfetarif-beamtenanwaerter-beamte-referendare-111254.md,Company: ERGO – de_Produkte_Zahnzusatzversicherung_Kieferorthopaedie,Company: DKV – Gesundheit Organisation Hilfsmittel Service Rollatoren,Company: ERGO – Zahnzusatzversicherung Verdoppelter Festzuschuss bei Zahnersatz,Company: dkv – gesundheit-organisation-hilfsmittel-service-hilfsmittel-zur-insulintherapie.md,Company: ergo – de_Produkte_Zahnzusatzversicherung_Zahnzusatzversicherung-ohne-Wartezeit,Company: dkv – zusatzversicherungen.md,Company: ergo – de_Service_ereignis-melden_leistungsfall-melden_kranken,Company: DKV – gesundheit-innere-organe.md,Company: ERGO – de_Service_ereignis-melden_leistungsfall-melden_zahn,Company: DKV – gesundheit-familienprogramme.md,Company: ERGO – de_Produkte_Zahnzusatzversicherung_Kieferorthopaedie_abschluss_kfo,Company: DKV – Gesundheit Organisation Hilfsmittel Service Beatmungsgeräte,Company: ERGO – Zahnzusatzversicherung mit Implantaten,Company: Generali – service-kontakt_schaden-melden_haftpflicht,Company: ERGO – de_Produkte_Haftpflichtversicherung_Hundehalterhaftpflicht,Company: dkv – gesundheit-familie.md,Company: ergo – de_Produkte,Company: DKV – private-krankenversicherungen.md,Company: ERGO – de_Produkte_Zahnzusatzversicherung_zahnersatz,Company: DKV – produkte-krankenversicherung-grosskunden-firmen-1556.md,Company: Generali – geschaeftskunden_gesundheit-betriebliche-vorsorge_betriebliche-krankenversicherung-inland,Company: dkv – gesundheit-organisation-hilfsmittel-service-kompressionstherapiegeraete.md,Company: generali – service-kontakt_self-service_vertragsinformationen_tarifinformation-krankenversicherung,Company: ERGO – Zahnzusatzversicherung,Company: Generali – Krankenzusatzversicherung,Company: ergo – de_Produkte_Zahnzusatzversicherung_Zahnzusatzversicherung-ohne-Wartezeit_abschluss_zez,Company: generali – service-kontakt_self-service_dokumente-einreichen_rechnung,Company: Generali – privatkunden_gesundheit-freizeit_gesundheitsservices,Company: R+V – krankenversicherungen,Company: R+V – private-krankenversicherung,Company: SDK – versicherungen_zusatzversicherung_auslandskrankenversicherung,Company: sdk – versicherungen_zusatzversicherung_zahnzusatzversicherung_was-genau-passiert-bei-einer-professionellen-zahnreinigung,Company: group – produkte_ambulante-zusatzversicherung,Company: sdk – versicherungen_private-krankenversicherung_gesundheitsdienstleistungen_gesundheitsberatung,Company: group – produkte_auslandskrankenversicherung,Company: huk-coburg – fahrzeuge_kfz-versicherung_elektro-kleinstfahrzeuge,Company: r+v – haftpflichtversicherung_haus-und-grundbesitzerhaftpflicht,Company: sdk – versicherungen_private-krankenversicherung_angebot,Company: group – produkte_zahnzusatzversicherung,Company: sdk – versicherungen_private-krankenversicherung_gesundheitsdienstleistungen_gesundheitsdienstleistungen-fuer-krankenzusatzversicherte,Company: group – produkte_auslandskrankenversicherung_familie,Company: sdk – versicherungen_zusatzversicherung_krankentagegeldversicherung,Company: group – service_gesundheitswelt,Company: sdk – versicherungen_private-krankenversicherung_work-life-balance-fuer-medizinerinnen-und-mediziner,Company: group – ratgeber_zahnzusatzversicherung-zahnfuellung,Company: sdk – services_online-services_einwilligungerklaerung,Company: group – ratgeber_zahnzusatzversicherung-sinnvoll,Company: sdk – versicherungen_zusatzversicherung_auslandskrankenversicherung_rechner,Company: group – produkte_private-krankenversicherung_studenten,Company: sdk – services_online-services_faq,Company: group – ratgeber_zahnzusatzversicherung-weisse-zaehne,Company: sdk – versicherungen_zusatzversicherung_ambulante-zusatzversicherung,Company: group – produkte_private-krankenversicherung_angebot,Company: sdk – versicherungen_private-krankenversicherung_pkv-fuer-aerzte,Company: group – ratgeber_zahnzusatzversicherung-ohne-wartezeit,Company: sdk – versicherungen_private-krankenversicherung,Company: group – produkte_krankenhauszusatzversicherung,Company: huk-coburg – fahrzeuge_kfz-versicherung_quad-versicherung.md,Company: r+v – haftpflichtversicherung_gewaesserschadenhaftpflicht,Company: sdk – downloads_Broschueren_Broschuere-Optionstarif-Private-Krankenversicherung-1.645s.pdf,Company: group – ratgeber_zahnzusatzversicherung-professionelle-zahnreinigung,Company: r+v – service,Company: group – produkte,Company: Generali – privatkunden_fahrzeug-zuhause_kunstversicherung,Company: ERGO – de_Service_ereignis-melden_schadenfall-melden,Company: R+V – beratung_direktberatung,Company: SIGNAL IDUNA – service_schaden-melden,Company: Generali – privatkunden_rundum-schutz_mein-zukunftsplan,Company: ERGO – de_Produkte_Rentenversicherung_Sofort-Rente,Company: r+v – altersvorsorge_private-rentenversicherung_privat-rente-indexinvest,Company: group – produkte_gewerbe_betriebsrentenversicherung,Company: sdk – versicherungen_altersvorsorge_betriebliche-altersvorsorge,Company: group – service_bav-net,Company: dkv – Reiserücktrittsversicherung & Reiseabbruchversicherung,Company: ergo – Schülerreise-Versicherung,Company: dkv – productdb_img_img_Auszeichnungen_Siegel-Franke-Bornberg-BMK1-BMZ1_XL.jpg_6,Company: ergo – de_Service_ereignis-melden,Company: AXA – pk_gesundheit_p_krankenhauszusatzversicherung,Company: Barmenia – deu_bde_geschaeftlich_bde_produkte_geschaeftskunde_bde_gesundheit_1_uebersicht.xhtml,Company: AXA – pk_gesundheit_p_ambulante-zusatzversicherung,Company: Barmenia – deu_bde_geschaeftlich_bde_produkte_geschaeftskunde_bde_gesundheit_1_kollektiv_1_uebersicht.xhtml,Company: Barmenia – MediApp-Tarif (Telearzt),Company: DKV – Orthesen Service,Company: Barmenia – VHV+ Tarif,Company: DKV – KombiMed Zahn Plus
Coverage Type,Betriebshaftpflichtversicherung,Veranstalterhaftpflichtversicherung,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Limit,Bis zu 5 Millionen Euro,Not specified,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Liability Coverage,Umwelthaftpflicht-Basisdeckung bis zu 100.000 Euro,Umwelthaftpflicht-Basisversicherung,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Environmental Damage Coverage,Umweltschaden-Basisdeckung bis zu 100.000 Euro,Umweltschadensversicherung,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Liability for Owners/Managers,Beitragsfrei mitversichert,Not specified,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry-Specific Services,Branchenspezifische Leistungen für diverse Branchen,Besondere Leistungen bei Events,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Policy Purchase,Möglich,Not specified,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/7 Claims Support,Ja,Not specified,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Legal Protection,Not specified,Veranstaltungsrechtsschutz durch ROLAND Rechtsschutz,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact for Support,Beratung vor Ort oder telefonisch,Telefonisch unter 0800 3203205,comparison_cluster_1.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Type,,,comparison_cluster_10.md,Krankenhaustagegeld-Versicherung,Betriebliche Krankenversicherung (bKV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage,,,comparison_cluster_10.md,Nebenkosten während Krankenhausaufenthalt,Zusatzleistungen für Gesundheit und Vorsorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premiums,,,comparison_cluster_10.md,"11,00 EUR/Monat für 50 EUR Tagegeld",Arbeitgeber- oder Arbeitnehmerfinanziert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefits,,,comparison_cluster_10.md,Verdoppelung des Tagegeldes für Kinder,"Keine Gesundheitsprüfung, keine Wartezeiten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Features,,,comparison_cluster_10.md,Tagegeldhöhe frei wählbar,Fortführung bei Rente oder Arbeitgeberwechsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Support,,,comparison_cluster_10.md,Beratung telefonisch verfügbar,Umfassende Onlineservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Service Availability,,,comparison_cluster_10.md,"Mo-Fr: 08:00-20:00, Sa: 09:00-15:00",Täglich 07:00-24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Audience,,,comparison_cluster_11.md,,,"Ärzte, Zahnärzte, Studenten, Beamte/Beihilfeberechtigte, Beamtenanwärter, Profisportler","Allgemein, mit spezifischen Produkten für Kinder, Reisende, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Types,,,comparison_cluster_11.md,,,"Private Krankenversicherung, Beihilfetarife, Berufsausbildungstarife, Anwartschaft, Zahnbereich","Auslandskrankenversicherung, Krankenhauszusatzversicherung, Pflegezusatzversicherung, Zahnzusatzversicherung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
