company_name,page_content,is_product_page,product_service_name,product_information
generali,geschaeftskunden_rundum-schutz_immobiliensicherungspolice_cleansed.md,True,Immobiliensicherungspolice,"Die Immobiliensicherungspolice schützt Eigentümer gewerblich genutzter Gebäude vor finanziellen Folgen von Sachschäden, wie z.B. durch Feuer, Sturm oder Leitungswasser. Sie bietet zudem Bausteine wie Mietausfallschutz und Glasbruchversicherung, um umfassenden Schutz für Immobilien und deren Einnahmequellen zu gewährleisten."
generali,cookie-einstellungen_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet eine umfassende Absicherung für Privat- und Geschäftskunden in verschiedenen Bereichen wie Fahrzeug, Gesundheit, Freizeit, Recht und Vorsorge. Die Produkte umfassen unter anderem Kfz-Versicherungen, Krankenvollversicherungen, Unfallversicherungen und Vermögensaufbaupläne, die auf die individuellen Bedürfnisse der Kunden zugeschnitten sind."
generali,impressum_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet eine umfassende Absicherung für Privat- und Geschäftskunden in verschiedenen Bereichen wie Gesundheit, Fahrzeug, Rechtsschutz und Vorsorge. Die Produkte umfassen unter anderem Kfz-Versicherungen, Hausratversicherungen, Unfallversicherungen sowie verschiedene Gesundheits- und Vorsorgeprodukte, die auf die individuellen Bedürfnisse der Kunden zugeschnitten sind."
generali,privatkunden_gesundheit-freizeit_wassersportversicherung_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet umfassende Versicherungsleistungen für Privat- und Geschäftskunden, einschließlich Kfz-Versicherung, Hausratversicherung, Gesundheits- und Pflegeversicherungen sowie Rechtsschutz. Die Produkte sind darauf ausgelegt, verschiedene Lebensbereiche abzusichern und bieten individuelle Lösungen für unterschiedliche Bedürfnisse."
generali,privatkunden_gesundheit-freizeit_krankenratgeber_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet eine umfassende Absicherung für Privat- und Geschäftskunden in verschiedenen Bereichen wie Gesundheit, Fahrzeug, Freizeit, Recht und Vorsorge. Die Produkte umfassen unter anderem Kfz-Versicherungen, Hausratversicherungen, Krankenvollversicherungen und verschiedene Vorsorgeoptionen, die auf die individuellen Bedürfnisse der Kunden zugeschnitten sind."
generali,privatkunden_rundum-schutz_young-and-law_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet eine umfassende Absicherung für Privat- und Geschäftskunden in verschiedenen Bereichen wie Gesundheit, Fahrzeug, Rechtsschutz und Vorsorge. Die Produkte sind speziell auf die Bedürfnisse junger Menschen zugeschnitten und beinhalten unter anderem Kfz-Versicherungen, Krankenvollversicherungen und Rechtsschutzversicherungen."
generali,privatkunden_vorsorge-finanzen_grundfaehigkeitsversicherung_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet eine umfassende Absicherung für Privat- und Geschäftskunden in verschiedenen Bereichen wie Gesundheit, Fahrzeug, Rechtsschutz und Vorsorge. Die Produkte umfassen unter anderem Kfz-Versicherungen, Hausratversicherungen, Berufsunfähigkeitsversicherungen und Pflegezusatzversicherungen, die auf die individuellen Bedürfnisse der Kunden zugeschnitten sind."
generali,privatkunden_gesundheit-freizeit_krankenhaustagegeld_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet eine umfassende Absicherung für Privat- und Geschäftskunden in verschiedenen Bereichen wie Gesundheit, Fahrzeug, Freizeit, Recht und Vorsorge. Die Produkte umfassen unter anderem Kfz-Versicherungen, Krankenvollversicherungen, Unfallversicherungen und Pflegezusatzversicherungen, die auf die individuellen Bedürfnisse der Kunden zugeschnitten sind."
generali,privatkunden_gesundheit-freizeit_gesundheitsservices_kooperationen_mister-spex_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet eine umfassende Absicherung für Privat- und Geschäftskunden in verschiedenen Bereichen wie Gesundheit, Fahrzeug, Freizeit, Recht und Vorsorge. Die Produkte umfassen unter anderem Kfz-Versicherungen, Krankenvollversicherungen, Unfallversicherungen und Vermögensaufbaupläne, die auf die individuellen Bedürfnisse der Kunden zugeschnitten sind."
generali,privatkunden_fahrzeug-zuhause_kfz-versicherung_carglass_cleansed.md,True,RundumSchutz,"Der RundumSchutz bietet eine umfassende Absicherung für Privat- und Geschäftskunden in verschiedenen Bereichen wie Fahrzeug, Gesundheit, Freizeit, Recht und Vorsorge. Die Produkte umfassen unter anderem Kfz-Versicherungen, Krankenvollversicherungen und Haftpflichtversicherungen, die auf die individuellen Bedürfnisse der Kunden zugeschnitten sind."
