company_name,page_name,product
axa,axa/.html,no
axa,axa/abloesung-mgs-durch-myaxa.html,no
axa,axa/altersvorsorge-ratgeber.html,no
axa,axa/axa-social-media.html,no
axa,axa/datenschutz.html,no
axa,axa/form_karriere_AKTIONSCODE%3D14015D.html,no
axa,axa/freundewerben.html,no
axa,axa/geschaeftskunden.html,no
axa,axa/geschaeftskunden_autoinhaltsversicherung.html,yes
axa,axa/geschaeftskunden_bau.html,no
axa,axa/geschaeftskunden_bauleistungsversicherung.html,yes
axa,axa/geschaeftskunden_berufshaftpflicht.html,yes
axa,axa/geschaeftskunden_betriebliche-altersversorgung.html,yes
axa,axa/geschaeftskunden_betriebliche-gruppenunfallversicherung.html,yes
axa,axa/geschaeftskunden_betriebliche-krankenversicherung.html,yes
axa,axa/geschaeftskunden_betriebsgebaeudeversicherung.html,yes
axa,axa/geschaeftskunden_betriebshaftpflicht.html,yes
axa,axa/geschaeftskunden_betriebsschliessungsversicherung.html,yes
axa,axa/geschaeftskunden_cyber-versicherung.html,yes
axa,axa/geschaeftskunden_elektronikversicherung.html,yes
axa,axa/geschaeftskunden_ertragsausfallversicherung.html,yes
axa,axa/geschaeftskunden_finanzierungsloesungen_factoring.html,yes
axa,axa/geschaeftskunden_finanzierungsloesungen_firmenleasing.html,yes
axa,axa/geschaeftskunden_gastronomie.html,no
axa,axa/geschaeftskunden_industrie-haftpflichtversicherung.html,yes
axa,axa/geschaeftskunden_industrie-sachversicherung.html,yes
axa,axa/geschaeftskunden_inhaltsversicherung.html,yes
axa,axa/geschaeftskunden_internationale-krankenversicherung.html,yes
axa,axa/geschaeftskunden_internationale-versicherungsprogramme.html,yes
axa,axa/geschaeftskunden_it-haftpflicht.html,yes
axa,axa/geschaeftskunden_it-unternehmen.html,no
axa,axa/geschaeftskunden_kautionsversicherung.html,yes
axa,axa/geschaeftskunden_kfz-flottenversicherung.html,yes
axa,axa/geschaeftskunden_kontakt-buergschaft-kaution.html,no
axa,axa/geschaeftskunden_landwirtschaft.html,yes
axa,axa/geschaeftskunden_luftfahrtversicherung.html,yes
axa,axa/geschaeftskunden_maschinenversicherung.html,yes
axa,axa/geschaeftskunden_mitarbeiterabsicherung.html,yes
axa,axa/geschaeftskunden_montageversicherung.html,yes
axa,axa/geschaeftskunden_praxisausfallversicherung.html,yes
axa,axa/geschaeftskunden_profi-schutz-absicherung.html,yes
axa,axa/geschaeftskunden_rechtsschutzversicherung.html,yes
axa,axa/geschaeftskunden_services-fuer-geschaeftskunden.html,no
axa,axa/geschaeftskunden_transportversicherung.html,yes
axa,axa/geschaeftskunden_veranstalterhaftpflichtversicherung.html,yes
axa,axa/geschaeftskunden_verkehrshaftungsversicherung.html,yes
axa,axa/geschaeftskunden_vermoegensschadenhaftpflicht.html,yes
axa,axa/geschaeftskunden_vertrauensschadenversicherung.html,yes
axa,axa/geschaeftskunden_waldversicherung.html,yes
axa,axa/geschaeftskunden_zusatzinformationen-buergschaft-kaution.html,no
axa,axa/home.html,no
axa,axa/impressum.html,no
axa,axa/karriere.html,no
axa,axa/karriere_ausbildung-aussendienst.html,no
axa,axa/karriere_ausbildung-duales-studium.html,no
axa,axa/karriere_ausbildung-duales-studium_ausbildung-kaufmann-digitalisierungsmanagement.html,no
axa,axa/karriere_ausbildung-duales-studium_ausbildung-kaufmann-versicherungen-finanzen.html,no
axa,axa/karriere_ausbildung-duales-studium_duales-studium-bachelor-informatik.html,no
axa,axa/karriere_ausbildung-duales-studium_duales-studium-bachelor-risk-insurance.html,no
axa,axa/karriere_bewerbung-faq.html,no
axa,axa/karriere_bewerbungstipps.html,no
axa,axa/karriere_bock-auf-neues.html,no
axa,axa/karriere_diversity-inclusion.html,no
axa,axa/karriere_duale-karriere-im-para-sport.html,no
axa,axa/karriere_entwicklungsperspektiven.html,no
axa,axa/karriere_erfahrungsbericht-data-management.html,no
axa,axa/karriere_erfahrungsbericht-finance.html,no
axa,axa/karriere_erfahrungsbericht-onboarding-praktikantin.html,no
axa,axa/karriere_erfahrungsbericht-stipendiatin-diversity.html,no
axa,axa/karriere_erfahrungsberichte-mitarbeitende.html,no
axa,axa/karriere_executive-assistant.html,no
axa,axa/karriere_jobs-consulting-strategie.html,no
axa,axa/karriere_jobs-data.html,no
axa,axa/karriere_jobs-finance.html,no
axa,axa/karriere_jobs-it.html,no
axa,axa/karriere_karrieremesse-events.html,no
axa,axa/karriere_kontakt-recruiter.html,no
axa,axa/karriere_mitarbeitervorteile.html,no
axa,axa/karriere_new-way-of-working.html,no
axa,axa/karriere_onboarding-neuer-mitarbeiter.html,no
axa,axa/karriere_praktikum-studenten.html,no
axa,axa/karriere_stellenboerse-axa.html,no
axa,axa/karriere_trainee.html,no
axa,axa/karriere_unternehmenskultur.html,no
axa,axa/karriere_vertriebskarriere.html,no
axa,axa/kontakt.html,no
