company,product_name,category,details
axa,Autoinhaltsversicherung,Transportversicherung,"['Absicherung von Gütern, die in Fahrzeugen oder Anhängern transportiert werden', 'Versicherungsschutz bei Einbruch in das Kraftfahrzeug und Entwendung des Fahrzeugs', 'Schutz bei Unfall des Kraftfahrzeugs und Unfall des Transportmittels beim Be- und Entladen', 'Absicherung gegen Brand-, Blitz- und Explosionsschäden sowie höhere Gewalt', 'Schutz bei Raub der versicherten Sachen', 'Möglichkeit zur Ergänzung um eine Ausstellungsversicherung für Messen oder Ausstellungen', 'Option zur Firmenreisegepäckversicherung für Mitarbeiter', 'Erweiterungsmöglichkeiten wie Versicherung des Nachtzeitrisikos und Mitversicherung einer Musterkollektion', 'Beispiele für Schadensfälle: Unfall mit Brandfolge, Raubüberfall auf dem Rastplatz, Einbruch ins Fahrzeug']"
axa,Bauleistungsversicherung,Bauleistungsversicherung,"['Die Bauleistungsversicherung richtet sich an Bauherren als Auftraggeber oder Bauunternehmer als Auftragnehmer.', 'Versichert sind alle Lieferungen und Leistungen für Neubau oder Umbau einschließlich der Außenanlagen.', 'Mitversichert sind alle Unternehmer, die an dem Bauvorhaben beteiligt sind.', 'Schutz gegen finanzielle Einbußen bei Sachschäden durch Ungeschicklichkeit, Fahrlässigkeit, Vandalismus oder Böswilligkeit.', 'Schutz gegen ungewöhnliche oder außergewöhnliche Witterungseinflüsse (Sturm, Hagel, Starkregen).', 'Schutz gegen Brand, Blitzschlag oder Explosion.', 'Schutz gegen nicht erkannte Eigenschaften des Baugrundes.', 'Schadenbeispiele: Sturm (Schadenhöhe 15.000 Euro), Leitungswasser (Schadenhöhe 70.000 Euro), Vandalismus (Schadenhöhe 18.000 Euro), Brand (Schadenhöhe 250.000 Euro).', 'Ergänzung durch Bauleistungs-Betriebsunterbrechungsversicherung möglich.', 'Schutz gegen Verzögerung der Nutzung des Bauvorhabens durch gedeckten Sachschaden.', 'Ersatz von Unterbrechungsschäden wie entgangener Gewinn aus Mieteinnahmen, Löhne, Gehälter und fortlaufende Kosten.', 'Versicherung von Mehrkosten durch verzögerte Fertigstellung, z. B. Anmietung von Ersatzräumlichkeiten, höhere Baufinanzierungskosten, Neuvermarktungskosten.', 'Unentbehrlich für alle Bauherren und Bauunternehmer.', 'Weitere Produkte: Bauherrenhaftpflichtversicherung, Betriebsgebäudeversicherung.']"
axa,Vertrauensschadenversicherung,Vertrauensschadenversicherung,"['Schutz bei Fehlern und Versehen im Rahmen der beruflichen Tätigkeit', 'Absicherung gegen Personenschäden und sonstige Schäden', 'Absicherung gegen Vermögensschäden (Vermögensschaden-Haftpflichtversicherung)', 'Geeignet für spezielle Berufe wie Architekten, Ingenieure, Ärzte, Notare, Rechtsanwälte und Versicherungsvermittler', 'Pflichtversicherung in vielen Berufen', 'Abwehr unberechtigter Ansprüche', 'Befriedigung berechtigter Ansprüche gegenüber Dritten', 'Deckung von Schäden am Bauobjekt (für Architekten und Ingenieure)', 'Auslandsrisiken innerhalb der EU und der Schweiz', 'Deckung bei Versichererwechsel', 'Energieberatung und Ausstellung von Energieausweisen', 'Leistungen der Sicherheits- und Gesundheitskoordination sowie der Projektsteuerung', 'Zeitlich unbegrenzte Nachmeldefrist bei Fehlern aus der beruflichen Tätigkeit (Umweltrisiken bis drei Jahre)', 'Rückwärtsdeckung von einem Jahr bei erstmaligem Abschluss', 'Schutz vor Schäden durch Umwelteinwirkung und Kosten nach Umweltschadensgesetz', 'Schutz vor Unterschlagung, Diebstahl und Sabotage durch Mitarbeiter', 'Schutz vor zielgerichteten Hackerschäden durch außenstehende Dritte', 'Absicherung gegen Vermögensschäden durch kriminelle Handlungen von Mitarbeitern oder Dritten', 'Schutz bei Schäden, die Mitarbeiter einem Dritten zufügen, für die das Unternehmen haftet']"
axa,Branchenlösungen,Haftpflichtversicherung,"['Versicherungsschutz mit maximaler Flexibilität', 'Für höchste Fahr-Ansprüche', 'Schadenservice360°', 'Versicherungsschutz für Motorräder', 'Speziell für Elektroautos', 'Versicherungsschutz für Roller', 'Versicherungsschutz für E-Scooter', 'Versicherungsschutz für Oldtimer', 'Versicherungsschutz für Lieferwagen', 'Rechtsschutz im Verkehr', 'Schutz vor Schadenersatzforderungen', 'Haftpflichtversicherung für Tierhalter', 'Haftpflichtversicherung für Bauherren', 'Haftpflichtversicherung für Haus- und Grundbesitzer', 'Haftpflichtversicherung für Gewässerschäden', 'Rechtsschutz in verschiedenen Lebensbereichen', 'Versicherungsschutz für Wälder', 'Versicherungsschutz für den Hausrat', 'Versicherungsschutz für Wohngebäude', 'Schutz vor Elementarschäden', 'Finanzierungslösungen für Bauvorhaben', 'Sparvertrag für Baufinanzierung', 'Erstklassige medizinische Versorgung', 'Versicherungsschutz im Ausland', 'Versicherungsschutz für Reisen', 'Zusatzversicherung für Pflegebedürftigkeit', 'Zusatzversicherung für Zahngesundheit', 'Zusatzversicherung für ambulante Behandlungen', 'Zusatzversicherung für Krankenhausaufenthalte', 'Versicherung für Krankentagegeld', 'Altersvorsorge durch private Rentenversicherung', 'Altersvorsorge durch betriebliche Rentenversicherung', 'Verschiedene Anlagemöglichkeiten', 'Sparförderung durch vermögenswirksame Leistungen', 'Absicherung bei Berufsunfähigkeit', 'Absicherung der Existenz', 'Absicherung im Todesfall', 'Versicherungsschutz bei Unfällen', 'Versicherung für Bestattungskosten', 'Versicherungsschutz für Betriebsinhalte', 'Versicherungsschutz für Betriebsgebäude', 'Versicherungsschutz für Transporte', 'Versicherungsschutz für Auto-Inhalte', 'Versicherungsschutz für Bauleistungen', 'Versicherungsschutz für Elektronik', 'Versicherungsschutz für Industrieanlagen', 'Versicherungsschutz für Maschinen', 'Versicherungsschutz für Montagen', 'Versicherungsschutz bei Ertragsausfall', 'Versicherungsschutz bei Betriebsschließung', 'Versicherungsschutz bei Praxisausfall', 'Haftpflichtversicherung für Betriebe', 'Haftpflichtversicherung für Berufe', 'Haftpflichtversicherung für Veranstalter', 'Haftpflichtversicherung für die Industrie', 'Haftpflichtversicherung für Vermögensschäden', 'Versicherungsschutz bei Vertrauensschäden', 'Haftpflichtversicherung im Verkehr', 'Haftpflichtversicherung für IT-Unternehmen', 'Versicherung für Kautionen', 'Finanzierungslösung durch Factoring', 'Leasinglösungen für Firmen', 'Versicherungsschutz für Fahrzeugflotten', 'Versicherungsschutz gegen Cyber-Risiken', 'Gesundheitsschutz für Mitarbeiter', 'Versicherungsschutz für Expatriats', 'Unfallversicherung für Mitarbeitergruppen', 'Versicherungsschutz für die Luftfahrt', 'Rechtsschutz für Gewerbe', 'Einfache Umsetzung der betrieblichen Altersversorgung', 'Schließung von Versorgungslücken', 'Individuelle Lösungen für Altersversorgung', 'Auslagerung von Pensionsverpflichtungen', 'Attraktive Lösungen für bestimmte Berufsgruppen', 'Versorgungslösungen für spezifische Branchen']"
axa,Betriebliche Altersversorgung,Unfallversicherung,"['Schutz bei Unfällen, die nicht durch die gesetzliche Unfallversicherung abgedeckt sind', '80% der Unfälle passieren in Haus und Heim', 'Jährlich ca. 8 Millionen Menschen erleiden einen Unfall', 'Freiwillige soziale Leistung mit möglichen steuerlichen Vorteilen', 'Exzellentes Reha-Management zur Rehabilitation der Mitarbeiter', 'Erhöhung der Mitarbeiterbindung und Zufriedenheit', 'Versicherungsschutz weltweit rund um die Uhr, sowohl privat als auch beruflich', 'Möglichkeit der individuellen Anpassung der Versicherung', 'Versicherungsleistung variabel wählbar', 'Leistung ab einem Invaliditätsgrad von 1%', 'Mehrleistungs-/Progressionsstaffeln bei Vollinvalidität', 'Ausschnittsdeckungen möglich (z. B. nur Wegeunfälle)', 'Hohe Flexibilität bei Ein- und Ausschlüssen von Personen', 'Möglichkeit der Mitversicherung einer lebenslangen monatlichen Unfallrente', 'Kostenfreie Mitversicherung von Reha-Management und Assistancen', 'Versicherungsschutz für Vereine bei Unfällen im Zusammenhang mit vereinsüblichen Tätigkeiten', 'Geeignet für traditionelle Vereine und Sportvereine', 'Kompetenter Ansprechpartner für Vereinsversicherungen', 'Optimaler Gesundheitsschutz für alle Mitarbeiter zu günstigen Konditionen', 'Gesundheitsschutz für Expatriats im Ausland mit weltweiter medizinischer Versorgung', 'Unterstützung beim Aufbau einer ergänzenden betrieblichen Altersversorgung für Mitarbeiter', 'Private Haftpflichtversicherung', 'Hausratversicherung', 'Berufsunfähigkeitsversicherung', 'Kfz-Versicherung', 'Gebäudeversicherung', 'Adresse ändern', 'Bankverbindung ändern', 'Namen ändern', 'Service Apps', 'Versicherungslexikon', 'Kunden werben Kunden', 'Hilfe im Schadensfall', 'Kontaktformular', 'Ansprechpartner vor Ort', 'Servicenummern', 'Adressen', 'Lob & Kritik', 'Impressum', 'Datenschutz & Cookies', 'Nutzungshinweise']"
axa,FlexMed Gesundheitsbausteine,Krankenversicherung,"['Einfache und smarte Gesundheitsmehrwerte durch jährliches Gesundheitsbudget', 'Auswahl aus Budgettarifen mit attraktiven Leistungen', 'Unisex- und Uniage-Beiträge ohne Altersbeschränkung', 'Keine Gesundheitsprüfung erforderlich', 'Zusätzliche Serviceleistungen ohne Anrechnung auf das Gesundheitsbudget', 'Hochwertiger Schutz für Zahnersatz bei FlexMed easy Plus ergänzbar', 'Erweiterter Schutz im Vergleich zu FlexMed easy', 'Hochwertiger Schutz für Zahnersatz ergänzbar', 'Unisex- und Uniage-Beiträge ohne Altersbeschränkung', 'Keine Gesundheitsprüfung erforderlich', 'Zusätzliche Serviceleistungen ohne Anrechnung auf das Gesundheitsbudget', 'Erstklassiger Schutz für ausgewählte Mitarbeiter', 'Privatpatienten-Status für ambulante ärztliche Behandlung', 'Privatbehandlung im Krankenhaus und Unterbringung im Ein- oder Zweibettzimmer', 'Hervorragende zahnärztliche Leistungen', 'Altersabhängige (Unisex-) Beiträge', 'Hochwertige und flexible Gesundheitsleistungen für die gesamte Belegschaft', 'Individuelle Absicherung durch eine Vielzahl verfügbarer Baustein-Kombinationen', 'Unisex- und Uniage-Beiträge bis 69 Jahre', 'Aufnahme ohne Gesundheitsprüfung', 'Hervorragende Einzelleistungen für stationäre Behandlungen, Vorsorge oder bei längerfristiger Erkrankung']"
axa,Gebäudeversicherung für Betriebe,Gebäudeversicherung,"['Sichert Betriebsgebäude gegen Feuer, Leitungswasser, Sturm/Hagel und Elementargefahren wie Überschwemmung und Erdbeben ab.', 'Schutz gegen böswillige Beschädigung und Glasbruch für das gesamte Gebäude.', 'Mitversicherung von Heizungsanlagen, Klimaanlagen, Wandverkleidungen und Gebäudezubehör wie Brennstoffvorrat.', 'Versicherung von Grundstücksbestandteilen wie bauliche Einfriedungen, Terrassen oder Carports.', 'Erstattung des Sachsubstanzschadens und Übernahme von Aufräumungs- und Abbruchkosten.', 'Übernahme von Kosten für Dekontamination von Erdreich und Mehrkosten durch Technologiefortschritt.', 'Möglichkeit zur Erweiterung um eine Mietausfallversicherung.', 'Bestandteil des Profi-Schutzes, der eine Kombination aus verschiedenen Versicherungsprodukten ermöglicht.']"
axa,Betriebshaftpflichtversicherung von AXA,Haftpflichtversicherung,"['Deckt Risiken von Unternehmen und Freiberuflern ab, die durch betriebliche Tätigkeiten oder gelieferte Produkte Personen-, Sach- oder Vermögensschäden bei Dritten verursachen.', 'Prüfung, ob Haftung besteht, und Abwehr unbegründeter Forderungen.', 'Modular gestaltbare Deckungssummen und Selbstbeteiligungen.', 'Schadenersatz bei begründeten Forderungen.', 'Mitversicherung von IT- und Cyber-Risiken möglich.', 'Absicherung von Unternehmen und Mitarbeitern bei Personen-, Sach- und Vermögensschäden Dritter.', 'Mitversicherung von Mietsachschäden und Bearbeitungsschäden.', 'Versicherung der Umwelthaftpflicht.', 'Schutz vor Schadenersatzansprüchen durch Internet-Technologien.', 'Alternativ Absicherung von Eigen- und Drittschäden mit der Cyberdeckung.', 'Personenschäden auf dem Betriebsgrundstück aufgrund von Verkehrssicherungspflichtverletzungen.', 'Erweiterte Produkthaftpflicht für Bau-Handwerk inkl. Rückruf.', 'Neuwertentschädigung für Arbeitsmaschinen, die nicht älter als ein Jahr sind.', 'Versicherung der Umwelthaftpflicht für die Lagerung von Mineralölen und Biodieseln.', 'Zusätzliche Absicherungsmöglichkeit von Ansprüchen aus dem Gebrauch von Flugdrohnen.', 'Fallbeispiele: Stolperfalle und Öltank-Schaden.', 'Bestandteil der Rundum-Absicherung ""Profi-Schutz"" mit weiteren Produkten wie Inhaltsversicherung, Gebäudeversicherung, Ertragsausfallversicherung, Rechtsschutzversicherung und Mietausfallversicherung.']"
axa,Betriebsschließungsversicherung,Betriebsunterbrechungsversicherung,"['Schutz vor wirtschaftlichem Aus durch behördlich verhängte Betriebsschließungen gemäß Infektionsschutzgesetz.', 'Deckt entgangenen Betriebsgewinn, entstandene Kosten und Sachschäden ab.', 'Leistungen umfassen finanziellen Ausgleich für Schließungsschaden, Übernahme von Lohn- und Gehaltsaufwendungen, Ersatz von Waren- und Vorräteschäden.', 'Übernahme der Kosten für Desinfektion der Betriebsräume und -einrichtungen.', 'Kostenübernahme für Ermittlungs- und Beobachtungsmaßnahmen gemäß Infektionsschutzgesetz.', 'Versicherungsschutz beginnt frühestens 30 Tage nach Antragsstellung.', 'Nicht abgedeckt sind Schäden infolge einer Epidemie oder Pandemie und Maßnahmen im Rahmen einer Allgemeinverfügung.', 'Besonders sinnvoll für Betriebe des Nahrungsmittelhandels und des Gastgewerbes.']"
axa,Cyber-Versicherung,Gewerbeversicherung,"['Umfassender finanzieller Schutz gegen IT- und Cyber-Risiken', 'Professionelle Hilfe im Krisenfall', '24-Stunden-Hotline für Sofortmaßnahmen nach einem Hacker-Angriff', 'FirmenFlex Cyberversicherung für kleinere Firmen und Freiberufler', 'Versicherungssumme bis 1 Mio. Euro', 'Selbstbeteiligung ab 500 Euro', 'Flexibles Angebot durch Zu- und Abwahl von Bausteinen', 'Vertragslaufzeit von 1 Jahr', 'Schutz bei Cyber-Gefahren wie Hacker-Angriffen, Manipulation, IT-Dienstleister-Ausfall', 'Abdeckung von Sachverständigen- und Beratungskosten', 'Kostenübernahme für Wiederherstellung von Daten und Programmen', 'Unterstützung im Reputations- und Krisenmanagement', 'Übernahme von Cyber-Haftpflichtschäden', 'Kostenübernahme bei Erpressung und Datenschutzverletzungen', 'Schutz bei Internet-Betrug', 'Cyber-Awareness-Portal für Schulungen zur Cyber-Sicherheit', 'Datenschutz-Hotline für rechtliche Beratung', 'IT-Dienstleister-Liste für IT-Sicherheitsunterstützung', '24/7-Notfall-Hotline für schnelle Hilfe im Schadenfall', 'Schadenregulierung durch spezialisiertes Cyber-Schadenteam', 'Web-Seminare zu Themen wie E-Mail-Sicherheit, Authentifizierung, sicheres Surfen, Social Engineering', 'IT-Sicherheit durch Security Operations Center mit Echtzeit-Monitoring', 'Mitgliedschaft in IT-Verbänden für verbesserte IT- und Informationssicherheit']"
