company_names,product_names,category,company_details,comparison
"{'report_full_details_v2_barmenia_classified.json', 'report_full_details_v2_generali_classified.json', 'report_full_details_v2_axa_classified.json', 'report_full_details_v2_ergo_classified.json', 'report_full_details_v2_huk-coburg_classified.json', 'report_full_details_v2_signal_iduna_group_classified.json', 'report_full_details_v2_r+v_classified.json'}","{'de_Service_Vermittlersuche.md', 'gesundheit-vorsorge-vermoegen_existenzsicherung_risikolebensversicherung.md.md', 'privatkunden_vorsorge-finanzen_risikolebensversicherung.md', 'vermoegensuebertragung_immobilien-vererben.md', 'produkte_sterbegeldversicherung.md', 'deu_bde_privat_bde_produkte_privat_bde_vorsorge_finanzen_risikolebensversicherung_uebersicht.xhtml.md', 'de_Service_ereignis-melden_leistungsfall-melden_kranken.md', 'produkte_risikolebensversicherung.md', 'pk_existenzsicherung_p_risikolebensversicherung.md', 'risikolebensversicherung.md', 'de_Produkte_Lebensversicherung.md', 'de_Service_zahnversicherung-vergleich.md', 'de_Produkte_Lebensversicherung_Risikolebensversicherung.md'}",Risikolebensversicherung,"['information von report_full_details_v2_axa_classified.json:\nProduktname: Risikolebensversicherung von AXA\nVersicherungsart: Risikolebensversicherung\nDeckungssumme: 3- bis 5-fache des Bruttoeinkommens (empfohlen)\nSelbstbeteiligung: Keine Angabe\nPreis: Beispiel: 6,22 € monatlich für Ingenieur, 30 Jahre, 150.000 € Versicherungssumme, 20 Jahre Laufzeit\nGültigkeitsbereich: Weltweit\nVertragslaufzeit: Abhängig von individuellen Bedürfnissen, z.B. 10, 15, 20 Jahre\nWeitere Leistungen: Finanzielle Absicherung der Hinterbliebenen, Vorläufiger Versicherungsschutz bei Unfalltod, Dynamikoption, Erhöhungsoption, Flexibilität bei finanziellen Engpässen, Kinder-Extra, Eigenheim-Extra, Extra bei Unfalltod\nAusnahmen oder Ausschlüsse: Keine Angabe\n', 'information von report_full_details_v2_barmenia_classified.json:\nProduktname: PreRisk\nVersicherungsart: Risikolebensversicherung\nDeckungssumme: Zahlung der vereinbarten Versicherungssumme\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Weltweit\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Vorgezogene Zahlung der Versicherungssumme bei schwerer Krankheit mit prognostizierter Lebenserwartung von höchstens 12 Monaten, Auszahlung des Überschussguthabens bei ""Verzinsliche Ansammlung"" oder ""Fondsanlage"", OPTIONAL StarBUZ bei Berufsunfähigkeit: Beitragsfreistellung bei Berufsunfähigkeit, Beitragszahlung mit gleichbleibenden oder variablen Beiträgen möglich, Nachversicherungsgarantie bei Änderung der Lebenssituation, Vorläufiger Versicherungsschutz bis zu 100.000 EUR\nAusnahmen oder Ausschlüsse: Keine Angabe\n', 'information von report_full_details_v2_ergo_classified.json:\nProduktname: Risikolebensversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\nAusnahmen oder Ausschlüsse: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\n', 'information von report_full_details_v2_ergo_classified.json:\nProduktname: Risikolebensversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\nAusnahmen oder Ausschlüsse: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\n', 'information von report_full_details_v2_ergo_classified.json:\nProduktname: ERGO Risikolebensversicherung\nVersicherungsart: Risikolebensversicherung\nDeckungssumme: 50.000 bis 500.000 € (online), mehr bei Berater möglich\nSelbstbeteiligung: Keine Angabe\nPreis: Ab 2,18 € monatlich\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: 10 Jahre (Beispiel), bis zu 60 Jahre möglich\nWeitere Leistungen: Auszahlung der vereinbarten Versicherungssumme bei Tod der versicherten Person, Vorläufiger Versicherungsschutz ab Antragstellung, Nachversicherungsgarantie bei bestimmten Lebensereignissen, Optional: Beitragsfreiheit bei Berufsunfähigkeit, Optional: Dynamik zur Anpassung an steigende Lebenshaltungskosten, Optional: Sicherheit plus für garantierte Beiträge, Vorzeitige Todesfallleistung bei unheilbarer Krankheit, Pflegebonus bei Pflegebedürftigkeit, Soforthilfe für Hinterbliebene, Service: medizinische Zweitmeinung\nAusnahmen oder Ausschlüsse: Keine Auszahlung am Ende der Laufzeit, Wartezeit von 3 Jahren bei Suizid, Gesundheitsfragen erforderlich, mögliche Ablehnung bei hohem Risiko, Nicht geeignet für Alleinstehende ohne finanzielle Verpflichtungen oder ältere Menschen mit Vorerkrankungen\n', 'information von report_full_details_v2_ergo_classified.json:\nProduktname: ERGO Risikolebensversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Keine Angabe\nAusnahmen oder Ausschlüsse: Keine Angabe\n', 'information von report_full_details_v2_ergo_classified.json:\nProduktname: Risikolebensversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\nAusnahmen oder Ausschlüsse: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\n', 'information von report_full_details_v2_generali_classified.json:\nProduktname: Risikolebensversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Rundum geschützt durchs Leben, Mit mehr Leistung ans Ziel, Schutz bei Schäden, die man Anderen zufügt, Step By Step Zum Vermögensaufbau, Finanzieller Schutz bei Arbeitsunfähigkeit, schwerer Krankheit oder Pflegefall, Partnerversicherung möglich, Todesfallsumme anpassbar ohne neue Gesundheitsprüfung\nAusnahmen oder Ausschlüsse: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\n', 'information von report_full_details_v2_huk-coburg_classified.json:\nProduktname: Risiko\xadlebens\xadversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Ab 2,90 € im Monat\nGültigkeitsbereich: Weltweit\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Schutz für die Familie im Todesfall, Hohe Flexibilität (Beitrag senken, Pause einlegen, Versicherungsschutz verlängern), Extrarabatte für junge Leute bis 30 Jahre, Vorläufiger Versicherungsschutz bei Unfalltod, Erhöhungsoptionen ohne erneute Gesundheitsprüfung, Einmalleistung bei schweren Krankheiten, Kinder- und Baubonus, Inflationsschutz optional, Zusätzliche Leistung bei Unfalltod optional\nAusnahmen oder Ausschlüsse: Keine oder herabgesetzte Auszahlung bei unwahrheitsgemäßen Angaben in der Gesundheitsprüfung, Ausschluss bei vorsätzlicher Selbsttötung innerhalb der ersten drei Vertragsjahre, Ausschluss bei Tod durch Fremdeinwirkung, wenn die begünstigte Person zu den Verdächtigen gehört\n', 'information von report_full_details_v2_r+v_classified.json:\nProduktname: Risikolebensversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Absicherung der Familie bei Todesfall, Deckung von laufenden Kosten und Hauskrediten\nAusnahmen oder Ausschlüsse: Keine Angabe\n', 'information von report_full_details_v2_r+v_classified.json:\nProduktname: Risikolebensversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: 60.000 Euro (Beispiel)\nSelbstbeteiligung: Keine Angabe\nPreis: Ab 2,51 EUR monatlich\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: 10 Jahre (Beispiel)\nWeitere Leistungen: Günstige Beiträge bei gleichzeitig hoher Versicherungssumme, Schnelle Auszahlung im Todesfall, Auswahl aus drei Produktvarianten (classic, comfort, premium), Anschlussgarantie für verbundene Leben, Verlängerungsoption, Bau-Bonus, Kinder-Bonus, Nachversicherungsgarantie, Pflege-Bonus\nAusnahmen oder Ausschlüsse: Keine Angabe\n', 'information von report_full_details_v2_signal_iduna_group_classified.json:\nProduktname: Sterbegeldversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Bis zu 20.000 €\nSelbstbeteiligung: Keine Angabe\nPreis: 7,76 € monatlich (für Eintrittsalter 40 Jahre, Versicherungssumme 3.000 €, Ende der Beitragszahlung: 85 Jahre)\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Online Abschluss bis zu einer Höhe von 15.000 €, Keine Gesundheitsfragen bis zu einer Höhe von 20.000 €, Nachhaltige und klimaschonende Anlagestrategie, Auszahlung der gesamten Versicherungssumme nach zwei Jahren, Sofortige Leistung der vollen Versicherungssumme bei Unfalltod, Keine Wartezeit bei Abschluss mit Gesundheitsfragen, Erhöhung der Versicherungssumme bei bestimmten Anlässen (z. B. Heirat)\nAusnahmen oder Ausschlüsse: Bei Tod innerhalb der ersten beiden Versicherungsjahre werden die bis dahin gezahlten Beiträge erstattet\n', 'information von report_full_details_v2_signal_iduna_group_classified.json:\nProduktname: SI RisikofreiLeben\nVersicherungsart: Risikolebensversicherung\nDeckungssumme: 200.000 €\nSelbstbeteiligung: Keine Angabe\nPreis: Ab 5,35€ monatlich (je nach Tarif)\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: 20 Jahre\nWeitere Leistungen: Sicherheit im Todesfall für engste Vertraute, Absicherung beim Immobilienkauf, um Restschulden zu begleichen, Flexible Gestaltung der Beiträge, Laufzeit und Versicherungssumme, Vorläufiger Versicherungsschutz, Ausbaugarantie ohne Anlass, Vereinfachte Gesundheitsfragen (bei SI RisikofreiLeben-Immo), Berufsunfähigkeit-Zusatzversicherung mit Beitragsbefreiung\nAusnahmen oder Ausschlüsse: Keine Angabe\n']","Hier ist eine Vergleichstabelle im Markdown-Format für die Risikolebensversicherung von verschiedenen Versicherungsunternehmen:

```markdown
| Eigenschaft                  | AXA Risikolebensversicherung                                                                 | Barmenia PreRisk                                                                 | ERGO Risikolebensversicherung                                                   | Generali Risikolebensversicherung                                               | HUK-Coburg Risikolebensversicherung                                             | R+V Risikolebensversicherung                                                    | Signal Iduna SI RisikofreiLeben                                                 |
|------------------------------|---------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------|---------------------------------------------------------------------------------|---------------------------------------------------------------------------------|---------------------------------------------------------------------------------|---------------------------------------------------------------------------------|---------------------------------------------------------------------------------|
| Versicherungsart             | Risikolebensversicherung                                                                    | Risikolebensversicherung                                                          | Risikolebensversicherung                                                        | Lebensversicherung                                                              | Lebensversicherung                                                              | Lebensversicherung                                                              | Risikolebensversicherung                                                        |
| Deckungssumme                | 3- bis 5-fache des Bruttoeinkommens (empfohlen)                                             | Zahlung der vereinbarten Versicherungssumme                                       | 50.000 bis 500.000 € (online), mehr bei Berater möglich                         | Keine Angabe                                                                     | Keine Angabe                                                                     | 60.000 Euro (Beispiel)                                                           | 200.000 €                                                                       |
| Selbstbeteiligung            | Keine Angabe                                                                                | Keine Angabe                                                                      | Keine Angabe                                                                    | Keine Angabe                                                                     | Keine Angabe                                                                     | Keine Angabe                                                                     | Keine Angabe                                                                     |
| Preis                        | Beispiel: 6,22 € monatlich für Ingenieur, 30 Jahre, 150.000 € Versicherungssumme, 20 Jahre  | Keine Angabe                                                                      | Ab 2,18 € monatlich                                                             | Keine Angabe                                                                     | Ab 2,90 € im Monat                                                               | Ab 2,51 EUR monatlich                                                            | Ab 5,35€ monatlich (je nach Tarif)                                               |
| Gültigkeitsbereich           | Weltweit                                                                                    | Weltweit                                                                          | Keine Angabe                                                                    | Keine Angabe                                                                     | Weltweit                                                                         | Keine Angabe                                                                     | Keine Angabe                                                                     |
| Vertragslaufzeit             | Abhängig von individuellen Bedürfnissen, z.B. 10, 15, 20 Jahre                              | Keine Angabe                                                                      | 10 Jahre (Beispiel), bis zu 60 Jahre möglich                                    | Keine Angabe                                                                     | Keine Angabe                                                                     | 10 Jahre (Beispiel)                                                              | 20 Jahre                                                                        |
| Weitere Leistungen           | Finanzielle Absicherung der Hinterbliebenen, Vorläufiger Versicherungsschutz bei Unfalltod, Dynamikoption, Erhöhungsoption, Flexibilität bei finanziellen Engpässen, Kinder-Extra, Eigenheim-Extra, Extra bei Unfalltod | Vorgezogene Zahlung bei schwerer Krankheit, Überschussguthaben, StarBUZ bei Berufsunfähigkeit, Nachversicherungsgarantie, Vorläufiger Versicherungsschutz bis zu 100.000 EUR | Auszahlung bei Tod, Vorläufiger Versicherungsschutz, Nachversicherungsgarantie, Optional: Beitragsfreiheit bei Berufsunfähigkeit, Dynamik, Sicherheit plus, Vorzeitige Todesfallleistung, Pflegebonus, Soforthilfe, medizinische Zweitmeinung | Rundum geschützt, Mehr Leistung, Schutz bei Schäden, Vermögensaufbau, Finanzieller Schutz bei Arbeitsunfähigkeit, Partnerversicherung, Todesfallsumme anpassbar | Schutz für die Familie, Hohe Flexibilität, Extrarabatte, Vorläufiger Versicherungsschutz, Erhöhungsoptionen, Einmalleistung bei schweren Krankheiten, Kinder- und Baubonus, Inflationsschutz, Zusätzliche Leistung bei Unfalltod | Absicherung der Familie, Deckung von laufenden Kosten und Hauskrediten, Günstige Beiträge, Schnelle Auszahlung, Produktvarianten, Anschlussgarantie, Verlängerungsoption, Bau-Bonus, Kinder-Bonus, Nachversicherungsgarantie, Pflege-Bonus | Sicherheit im Todesfall, Absicherung beim Immobilienkauf, Flexible Gestaltung, Vorläufiger Versicherungsschutz, Ausbaugarantie, Vereinfachte Gesundheitsfragen, Berufsunfähigkeit-Zusatzversicherung |
| Ausnahmen oder Ausschlüsse   | Keine Angabe                                                                                | Keine Angabe                                                                      | Keine Auszahlung am Ende der Laufzeit, Wartezeit bei Suizid, Gesundheitsfragen erforderlich, mögliche Ablehnung bei hohem Risiko, Nicht geeignet für Alleinstehende ohne finanzielle Verpflichtungen oder ältere Menschen mit Vorerkrankungen | Keine Angabe                                                                     | Keine oder herabgesetzte Auszahlung bei unwahrheitsgemäßen Angaben, Ausschluss bei vorsätzlicher Selbsttötung, Ausschluss bei Tod durch Fremdeinwirkung | Keine Angabe                                                                     | Keine Angabe                                                                     |
```

Diese Tabelle bietet einen Überblick über die verschiedenen Risikolebensversicherungsprodukte und deren Eigenschaften, basierend auf den bereitgestellten Informationen."
"{'report_full_details_v2_sdk_classified.json', 'report_full_details_v2_ergo_classified.json', 'report_full_details_v2_axa_classified.json', 'report_full_details_v2_r+v_classified.json'}","{'de_Produkte_Sterbegeldversicherungen_Sterbegeldversicherung.md', 'sterbegeldversicherung.md', 'lebensversicherungen-familie.md', 'finanzplan.md', 'versicherungen_altersvorsorge_sterbegeldversicherung.md', 'versicherung-fuer-kinder_sparen-fuer-kinder.md', 'pk_existenzsicherung_p_sterbegeld-versicherung.md'}",Gemischte Lebensversicherung,"['information von report_full_details_v2_axa_classified.json:\nProduktname: Sterbegeldversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Bis 15.000 EUR\nSelbstbeteiligung: Keine Angabe\nPreis: 24,44 EUR monatlich für eine Versicherungssumme von 6.000 EUR für einen 50-jährigen bis zum 85. Lebensjahr\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Lebenslang\nWeitere Leistungen: Lebenslanger Versicherungsschutz, Aufnahme ohne Gesundheitsfragen bis zum Alter von 85 Jahren, Voller Versicherungsschutz nach 18 Monaten bei monatlicher Beitragszahlung, Sofortiger voller Versicherungsschutz bei Unfalltod, Beitragsbefreiung bei Pflegebedürftigkeit ab Pflegegrad 4, Zusätzliche Absicherung für Todesfall im Ausland (Auslandsrückholung), Erhöhung des Versicherungsschutzes durch Überschussbeteiligung ohne zusätzlichen Beitrag\nAusnahmen oder Ausschlüsse: Keine Angabe\n', 'information von report_full_details_v2_ergo_classified.json:\nProduktname: Sterbegeldversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Bis 15.000 € in Grundschutz und Komfort, bis 20.000 € in Premium\nSelbstbeteiligung: Keine Angabe\nPreis: Z. B. 28,67 € monatlich (Annahmen: Alter 60 Jahre, Versicherungssumme 5.000 € im Grundschutz)\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Lebenslang\nWeitere Leistungen: Volle Todesfallleistung nach kurzer Aufbauzeit – ohne Gesundheitsfragen, Bei Unfalltod entfällt die Aufbauzeit und die Todesfallleistung wird verdoppelt, Auszahlung direkt an Bezugsberechtigte – ohne Erbschein, Sterbevorsorge-Ordner mit Tipps, Formularen und Checklisten, Juristisch geprüfte Dokumente und Anwaltshotline, Optional: Bestattungspakete (klassisch, traditionell, exklusiv), Beitragsdynamik zur Anpassung an Inflation, Flex-Option für Kapitalwahlrecht am Ende der Beitragszahlungsdauer\nAusnahmen oder Ausschlüsse: Keine Angabe\n', 'information von report_full_details_v2_r+v_classified.json:\nProduktname: Sterbegeldversicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Zwischen 1.000 EUR und 15.000 EUR\nSelbstbeteiligung: Keine Angabe\nPreis: Abhängig vom Eintrittsalter und der gewählten Höhe des Sterbegeldes, z.B. 41,64 EUR monatlich für 7.500 EUR bei Eintrittsalter 60 Jahre\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Lebenslang, Beitragszahlung maximal 25 Jahre oder bis zum 85. Lebensjahr\nWeitere Leistungen: Keine Gesundheitsprüfung, Schnelle Auszahlung, Überschussbeteiligung, Lebenslanger Schutz, Begrenzte Beitragsdauer, Volle Auszahlung bei Unfalltod während der Wartezeit\nAusnahmen oder Ausschlüsse: Keine volle Auszahlung bei Tod während der Wartezeit (außer bei Unfalltod), Rückerstattung der Beiträge bei Tod während der Wartezeit (außer bei Unfalltod)\n', 'information von report_full_details_v2_r+v_classified.json:\nProduktname: Vermögensübertragung\nVersicherungsart: Keine Angabe\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Gesundheitsschutz, Unfallschutz, Finanzielle Vorsorge, Kapitalaufbau für Kinder, Enkel- und Patenkinder, Finanzielle Absicherung der Familie, Abdeckung laufender Kosten und Hauskredite, Vorsorge für eigene Bestattung, Entlastung der Angehörigen von Bestattungskosten, Flexible Übertragung von Beträgen, Sichere oder chancenorientierte Investitionen\nAusnahmen oder Ausschlüsse: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\n', 'information von report_full_details_v2_r+v_classified.json:\nProduktname: KinderVorsorge IndexInvest\nVersicherungsart: Kapitalversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Ab 25 EUR monatlich\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Maximale Laufzeit von 27 Jahren\nWeitere Leistungen: Aufbau von Kapital für Kinder, Enkel- und Patenkinder, Jährliche Wahl zwischen Indexpartizipation am SOMAS-Index und sicherer Verzinsung, Mindestens 90 % Beitragsgarantie, Möglichkeit zur Erhöhung oder Reduzierung der Sparrate auf Anfrage, Einmalige Kapitalauszahlung zum Laufzeitende, Berufsunfähigkeits-Zusatzversicherung (BUZ Beitragsbefreiung) als möglicher Zusatzbaustein, Todesfallleistung mit vereinfachter Gesundheitsprüfung, Steuerfreie Erträge während der Laufzeit\nAusnahmen oder Ausschlüsse: Keine Angabe\n', 'information von report_full_details_v2_r+v_classified.json:\nProduktname: R+V-GenerationenKonzept-Plus\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Keine Angabe\nWeitere Leistungen: Sicherheitsorientierte Anlage, Wahl zwischen sicherer Verzinsung und Indexpartizipation am SOMAS Index, Sicherheitsorientiert bis flexibel, Individuelle Festlegung der Aufteilung zwischen sicherem Kapital und Chancen-Kapital, Chancenorientierte Anlage, Auswahl einer der vier aktiv gemanagten nachhaltigen Anlagestrategien von Union Investment, Absicherung bei Pflegebedürftigkeit, Pflegemonatsgeld, Absicherung bei Unfällen, Absicherung bei Unfällen, Kapital sicher verzinst aufbauen, Flexibel bis chancenorientiert, Lebenslange fondsgebundene Risikoversicherung mit individueller Fondsauswahl, Einfache Vermögensübertragung, Vermögensauszahlung im Erbfall, Kapitalversicherung mit festem Auszahlungstermin und individueller Fondsauswahl, Einfache Vermögensübertragung, Vermögensauszahlung zu individuell wählbarem Termin\nAusnahmen oder Ausschlüsse: Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe, Keine Angabe\n', 'information von report_full_details_v2_sdk_classified.json:\nProduktname: Sterbegeld Versicherung\nVersicherungsart: Lebensversicherung\nDeckungssumme: Keine Angabe\nSelbstbeteiligung: Keine Angabe\nPreis: Keine Angabe\nGültigkeitsbereich: Keine Angabe\nVertragslaufzeit: Lebenslanger Versicherungsschutz\nWeitere Leistungen: Keine Gesundheitsfragen, Optionale Beitragsbefreiung im Pflegefall, Finanzielle Absicherung für Bestattungskosten, Absicherung im Ausland (Rückführung bei Todesfall), Überschuss-Beteiligung\nAusnahmen oder Ausschlüsse: Keine Angabe\n']","Hier ist eine Vergleichstabelle im Markdown-Format für das Produkt ""Sterbegeldversicherung"" von verschiedenen Versicherungsunternehmen:

```markdown
| Eigenschaft                  | AXA                                      | ERGO                                     | R+V                                      | SDK                                      |
|------------------------------|------------------------------------------|------------------------------------------|------------------------------------------|------------------------------------------|
| Produktname                  | Sterbegeldversicherung                   | Sterbegeldversicherung                   | Sterbegeldversicherung                   | Sterbegeld Versicherung                  |
| Versicherungsart             | Lebensversicherung                       | Lebensversicherung                       | Lebensversicherung                       | Lebensversicherung                       |
| Deckungssumme                | Bis 15.000 EUR                           | Bis 15.000 € (Grundschutz/Komfort), bis 20.000 € (Premium) | Zwischen 1.000 EUR und 15.000 EUR        | Keine Angabe                             |
| Selbstbeteiligung            | Keine Angabe                             | Keine Angabe                             | Keine Angabe                             | Keine Angabe                             |
| Preis                        | 24,44 EUR monatlich (6.000 EUR, 50 Jahre)| 28,67 € monatlich (5.000 €, 60 Jahre)    | 41,64 EUR monatlich (7.500 EUR, 60 Jahre)| Keine Angabe                             |
| Gültigkeitsbereich           | Keine Angabe                             | Keine Angabe                             | Keine Angabe                             | Keine Angabe                             |
| Vertragslaufzeit             | Lebenslang                               | Lebenslang                               | Lebenslang, max. 25 Jahre Beitragszahlung| Lebenslanger Versicherungsschutz         |
| Weitere Leistungen           | Lebenslanger Schutz, keine Gesundheitsfragen, voller Schutz nach 18 Monaten, Unfalltod-Schutz, Beitragsbefreiung bei Pflegebedürftigkeit, Auslandsrückholung, Überschussbeteiligung | Volle Todesfallleistung nach kurzer Aufbauzeit, Unfalltod-Schutz, Auszahlung ohne Erbschein, Sterbevorsorge-Ordner, Anwaltshotline, Bestattungspakete, Beitragsdynamik, Flex-Option | Keine Gesundheitsprüfung, schnelle Auszahlung, Überschussbeteiligung, Unfalltod-Schutz während Wartezeit | Keine Gesundheitsfragen, optionale Beitragsbefreiung im Pflegefall, Absicherung für Bestattungskosten, Auslandsrückführung, Überschuss-Beteiligung |
| Ausnahmen oder Ausschlüsse   | Keine Angabe                             | Keine Angabe                             | Keine volle Auszahlung bei Tod während der Wartezeit (außer Unfalltod) | Keine Angabe                             |
```

Diese Tabelle bietet einen Überblick über die wichtigsten Eigenschaften und Details der Sterbegeldversicherungen von verschiedenen Anbietern. Beachten Sie, dass einige Informationen wie der Preis oder die Deckungssumme je nach individuellen Faktoren variieren können."
